id,dish_name,main_ingredients,energy_kcal,allergens
1,Fruit Salad,"Apple, Banana, Orange, Grapes, Strawberry, Blueberry",320,""
2,Nut Mix,"Walnut, Almond, Cashew, Hazelnut, Pecan, Macadamia",650,"Tree Nut, Soy"
3,Vegetable Stir Fry,"Broccoli, Carrot, Zucchini, Bell Pepper, Onion, Garlic",180,""
4,Seafood Platter,"Shrimp, Crab, Scallop, Lobster, Clam, Squid",450,"Shellfish, Gluten, Fish"
5,Cheese Platter,"Cheese, Butter, Cream, Yogurt",550,"Dairy, Soy, Lactose"
6,Meat Grill,"Beef, Chicken, Lamb, Pork, Turkey, Duck",600,""
7,Roasted Vegetables,"Potato, Sweet Potato, Pumpkin, Carrot, Parsnip, Turnip",250,"Dairy"
8,Leafy Greens Salad,"Lettuce, Spinach, Kale, Arugula, Swiss Chard",120,"Nuts, Gluten"
9,Tropical Smoothie,"Pineapple, Mango, Papaya, Banana, Coconut Milk",280,"Dairy, Tree Nut"
10,Mediterranean Bowl,"Chickpeas, Cucumber, Tomato, Onion, Feta Cheese",350,"Dairy, Soy"
11,Asian Noodle Soup,"Noodles, Mushroom, Leek, Garlic, Chicken, Egg",380,"Gluten, Egg, Wheat"
12,Biryani,"Rice, Chicken, Onion, Yogurt, Garlic, Almonds",650,"Dairy, Tree Nut, Gluten"
13,Qorma,"Lamb, Yogurt, Onion, Almonds, Garlic",550,"Dairy, Tree Nut"
14,Vegetable Curry,"Potato, Cauliflower, Peas, Carrot, Coconut Milk",320,"Tree Nut"
15,Fish Tacos,"Fish, Corn Tortilla, Cabbage, Lime, Avocado",420,"Fish, Gluten"
16,Stuffed Peppers,"Bell Pepper, Rice, Beef, Tomato, Onion",380,"Soy, Gluten"
17,Ratatouille,"Eggplant, Zucchini, Tomato, Onion, Garlic",220,""
18,Chicken Soup,"Chicken, Carrot, Celery, Onion, Noodles",300,"Gluten, Wheat"
19,Beef Stew,"Beef, Potato, Carrot, Onion, Garlic",450,""
20,Falafel Wrap,"Chickpeas, Pita Bread, Tahini, Cucumber, Tomato",400,"Gluten, Wheat, Sesame"
21,Avocado Toast,"Bread, Avocado, Egg, Chili Flakes",350,"Gluten, Wheat, Egg"
22,Shrimp Scampi,"Shrimp, Garlic, Butter, Pasta, Lemon",500,"Shellfish, Dairy, Gluten"
23,Vegetable Lasagna,"Lasagna Sheets, Cheese, Spinach, Tomato, Zucchini",480,"Gluten, Dairy, Wheat"
24,Fruit Yogurt Parfait,"Yogurt, Granola, Strawberry, Blueberry, Honey",320,"Dairy, Gluten, Nuts"
25,Nut Butter Sandwich,"Bread, Peanut Butter, Banana",450,"Gluten, Peanut, Wheat"
26,Grilled Cheese,"Bread, Cheese, Butter",450,"Gluten, Dairy, Wheat"
27,Chicken Caesar Salad,"Chicken, Romaine Lettuce, Croutons, Parmesan, Caesar Dressing",400,"Gluten, Dairy, Egg"
28,Beef Burger,"Burger Bun, Beef Patty, Cheese, Lettuce, Tomato",600,"Gluten, Dairy, Wheat"
29,Tuna Salad,"Tuna, Mayonnaise, Celery, Onion, Lettuce",350,"Fish, Egg"
30,Egg Fried Rice,"Rice, Egg, Peas, Carrot, Onion",400,"Egg"
31,Vegetable Soup,"Carrot, Celery, Onion, Potato, Tomato, Beans",200,"Gluten"
32,Chicken Curry,"Chicken, Onion, Tomato, Yogurt, Garlic",450,"Dairy"
33,Lentil Soup,"Lentils, Onion, Garlic, Carrot, Celery",300,"Shellfish, Nuts"
34,Potato Salad,"Potato, Egg, Mayonnaise, Celery, Onion",350,"Egg, Dairy"
35,Fruit Tart,"Pastry Crust, Custard, Strawberry, Kiwi, Blueberry",400,"Gluten, Dairy, Egg"
36,Stuffed Mushrooms,"Mushroom, Cheese, Breadcrumbs, Garlic",300,"Dairy, Gluten"
37,Spinach Dip,"Spinach, Cheese, Sour Cream, Artichoke",350,"Dairy, Nuts"
38,Guacamole,"Avocado, Tomato, Onion, Lime, Chili",200,""
39,Hummus,"Chickpeas, Tahini, Garlic, Lemon, Olive Oil",300,"Sesame"
40,Chocolate Cake,"Flour, Sugar, Egg, Butter, Cocoa",450,"Gluten, Dairy, Egg"
41,Apple Pie,"Apple, Pastry Crust, Sugar, Butter, Cinnamon",400,"Gluten, Dairy"
42,Pumpkin Soup,"Pumpkin, Onion, Cream, Garlic",300,"Dairy"
43,Corn Chowder,"Corn, Potato, Onion, Cream, Bacon",400,"Dairy, Fish"
44,Clam Chowder,"Clam, Potato, Onion, Cream, Bacon",450,"Shellfish, Dairy, Fish"
45,Pea Soup,"Peas, Ham, Onion, Carrot, Celery",350,"Dairy, Fish"
46,Beet Salad,"Beet, Goat Cheese, Walnut, Arugula",300,"Dairy, Tree Nut"
47,Brussels Sprouts,"Brussels Sprouts, Bacon, Onion, Butter",350,"Dairy, Fish, Nuts"
48,Asparagus,"Asparagus, Butter, Lemon, Parmesan",200,"Dairy, Nuts"
49,Stuffed Chicken,"Chicken Breast, Cheese, Spinach, Sun-Dried Tomato",450,"Dairy"
50,Shepherd's Pie,"Lamb, Potato, Carrot, Onion, Peas",500,""
51,Chicken Pot Pie,"Chicken, Pastry Crust, Carrot, Peas, Potato",550,"Gluten, Dairy"
52,Beef and Broccoli,"Beef, Broccoli, Garlic, Soy Sauce",400,"Soy, Gluten"
53,Pad Thai,"Rice Noodles, Shrimp, Egg, Peanut, Bean Sprouts",500,"Shellfish, Egg, Peanut"
54,Vegetable Tempura,"Assorted Vegetables, Tempura Batter",350,"Gluten, Egg, Wheat"
55,Sushi Roll,"Rice, Fish, Seaweed, Avocado, Cucumber",400,"Fish, Shellfish"
56,Mushroom Risotto,"Rice, Mushroom, Onion, Cheese, Wine",450,"Dairy"
57,Chicken Alfredo,"Pasta, Chicken, Cream, Parmesan, Garlic",600,"Gluten, Dairy, Wheat"
58,Eggplant Parmesan,"Eggplant, Tomato Sauce, Cheese, Breadcrumbs",400,"Dairy, Gluten"
59,Stuffed Grape Leaves,"Grape Leaves, Rice, Onion, Herbs, Lemon",300,""
60,Chicken Satay,"Chicken, Peanut Sauce, Cucumber Salad",450,"Peanut"
61,Beef Bulgogi,"Beef, Soy Sauce, Garlic, Onion, Pear",400,"Soy, Gluten"
62,Vegetable Paella,"Rice, Bell Pepper, Peas, Artichoke, Saffron",450,"Shellfish"
63,Chicken Tikka Masala,"Chicken, Yogurt, Tomato, Cream, Spices",500,"Dairy"
64,Lamb Kofta,"Lamb, Onion, Parsley, Garlic, Yogurt Sauce",450,"Dairy"
65,Fish and Chips,"Fish, Potato, Beer Batter, Tartar Sauce",700,"Fish, Gluten, Dairy, Egg"
66,Vegetable Samosa,"Pastry Dough, Potato, Peas, Spices",350,"Gluten, Wheat"
67,Chicken Quesadilla,"Tortilla, Chicken, Cheese, Pepper",500,"Gluten, Dairy, Wheat"
68,Beef Tacos,"Corn Tortilla, Beef, Lettuce, Cheese, Tomato",450,"Dairy"
69,Shrimp Fried Rice,"Rice, Shrimp, Egg, Peas, Carrot",500,"Shellfish, Egg"
70,Vegetable Lo Mein,"Noodles, Carrot, Cabbage, Bell Pepper, Mushroom",400,"Gluten, Wheat"
71,Chicken Noodle Soup,"Chicken, Noodles, Carrot, Celery, Onion",350,"Gluten, Wheat"
72,Beef Stir Fry,"Beef, Broccoli, Bell Pepper, Onion, Soy Sauce",450,"Soy, Gluten"
73,Pork Chop,"Pork, Apple Sauce, Potato, Green Beans",500,""
74,Roast Duck,"Duck, Orange Glaze, Potato, Carrot",600,""
75,Turkey Dinner,"Turkey, Stuffing, Cranberry Sauce, Vegetables",550,"Gluten, Dairy"
76,Salmon Fillet,"Salmon, Lemon, Dill, Asparagus, Potato",450,"Fish, Shellfish, Egg"
77,Tofu Stir Fry,"Tofu, Broccoli, Bell Pepper, Soy Sauce",350,"Soy"
78,Vegetable Omelette,"Egg, Cheese, Bell Pepper, Onion, Mushroom",400,"Egg, Dairy"
79,French Toast,"Bread, Egg, Milk, Cinnamon, Maple Syrup",450,"Gluten, Dairy, Egg, Wheat"
80,Pancakes,"Flour, Egg, Milk, Butter, Maple Syrup",500,"Gluten, Dairy, Egg, Wheat"
81,Waffles,"Flour, Egg, Milk, Butter, Syrup",550,"Gluten, Dairy, Egg, Wheat"
82,Waldorf Salad,"Apple, Walnut, Celery, Mayonnaise, Lettuce",400,"Tree Nut, Egg"
83,Cobb Salad,"Lettuce, Chicken, Egg, Avocado, Bacon, Cheese",500,"Egg, Dairy"
84,Antipasto Platter,"Cheese, Ham, Olives, Artichoke, Bread",450,"Dairy, Gluten"
85,Caprese Salad,"Tomato, Mozzarella, Basil, Olive Oil",300,"Dairy"
86,Greek Salad,"Cucumber, Tomato, Onion, Feta, Olives",350,"Dairy"
87,Caesar Salad,"Romaine Lettuce, Croutons, Parmesan, Caesar Dressing",400,"Gluten, Dairy, Egg"
88,Coleslaw,"Cabbage, Carrot, Mayonnaise, Vinegar",250,"Egg"
89,Pasta Salad,"Pasta, Bell Pepper, Cucumber, Olive, Cheese",400,"Gluten, Dairy, Wheat"
90,Potato Pancakes,"Potato, Egg, Onion, Flour",350,"Gluten, Egg, Wheat"
91,Vegetable Frittata,"Egg, Cheese, Potato, Onion, Bell Pepper",400,"Egg, Dairy"
92,Chicken Fajitas,"Chicken, Bell Pepper, Onion, Tortilla, Guacamole",500,"Gluten, Wheat"
93,Beef Enchiladas,"Beef, Tortilla, Cheese, Enchilada Sauce",600,"Gluten, Dairy, Wheat"
94,Chili Con Carne,"Beef, Beans, Tomato, Onion, Chili",450,""
95,Vegetable Chili,"Beans, Tomato, Bell Pepper, Onion, Corn",350,""
96,Black Bean Soup,"Black Beans, Onion, Garlic, Bell Pepper, Cumin",300,""
97,Mushroom Soup,"Mushroom, Onion, Cream, Garlic, Thyme",300,"Dairy"
98,Tomato Soup,"Tomato, Onion, Cream, Basil",250,"Dairy, Egg"
99,Minestrone Soup,"Vegetables, Beans, Pasta, Tomato, Onion",300,"Gluten, Wheat"
100,French Onion Soup,"Onion, Beef Broth, Bread, Cheese",350,"Gluten, Dairy, Wheat"
